Date,Open,High,Low,Close,Adj Close,Volume
2005-02-01,6.840000,8.966670,6.840000,8.333330,7.681862,16200
2005-03-01,8.333330,10.333300,8.333330,8.596670,7.924616,3600
2005-04-01,8.596670,8.596670,8.000000,8.333330,7.681862,5400
2005-05-01,8.333330,8.333330,7.666670,7.666670,7.067318,3600
2005-06-01,7.666670,7.666670,7.666670,7.666670,7.067318,27000
2005-07-01,7.666670,7.666670,7.666670,7.666670,7.067318,0
2005-08-01,7.666670,8.586670,7.666670,8.586670,7.915397,108000
2005-09-01,8.586670,10.783300,8.586670,10.783300,9.940302,16200
2005-10-01,10.783300,10.833300,10.166700,10.166700,9.371906,12600
2005-11-01,10.166700,10.500000,10.166700,10.500000,9.679150,5400
2005-12-01,10.500000,11.150000,10.500000,11.150000,10.278334,5400
2006-01-01,11.150000,15.000000,11.150000,15.000000,13.827356,41400
2006-02-01,15.000000,15.000000,13.333300,13.333300,12.290953,7200
2006-03-01,13.333300,13.333300,11.833300,11.833300,10.908216,7200
2006-04-01,11.833300,12.875000,10.110000,10.300000,9.494784,11127800
2006-05-01,10.385000,12.250000,8.880000,11.500000,10.600975,448968798
2006-06-01,11.500000,12.375000,9.375000,10.750000,9.909604,393747436
2006-07-01,10.750000,14.775000,10.030000,13.500000,12.444622,714629228
2006-08-01,12.765000,13.505000,10.365000,11.250000,10.370517,565316326
2006-09-01,11.375000,12.445000,10.350000,11.090000,10.223025,69102146
2006-10-01,11.000000,12.985000,11.000000,12.475000,11.499754,33241600
2006-11-01,12.500000,13.245000,11.450000,13.025000,12.006755,30823600
2006-12-01,13.000000,15.500000,12.495000,14.990000,13.818138,29012200
2007-01-01,14.990000,15.225000,12.970000,13.500000,12.444622,27263600
2007-02-01,13.570000,13.895000,12.305000,12.800000,11.799343,18199800
2007-03-01,12.750000,14.500000,11.855000,13.800000,12.721169,30442000
2007-04-01,13.690000,15.990000,13.090000,15.280000,14.085466,33995600
2007-05-01,15.280000,17.750000,15.280000,17.400000,16.039732,38873200
2007-06-01,17.299999,19.320000,16.325001,18.250000,16.823284,29945200
2007-07-01,18.495001,19.100000,16.100000,17.750000,16.362371,30021400
2007-08-01,17.510000,19.100000,13.500000,19.100000,17.606834,34001400
2007-09-01,19.139999,20.945000,17.355000,19.995001,18.431868,32947200
2007-10-01,20.245001,24.545000,20.004999,23.334999,21.510759,41158400
2007-11-01,23.045000,24.620001,18.400000,21.559999,19.874517,40083200
2007-12-01,21.940001,23.445000,20.250000,22.129999,20.399958,38565200
2008-01-01,22.129999,22.690001,17.010000,19.650000,18.113832,37886600
2008-02-01,20.000000,21.760000,19.000000,20.555000,18.948086,32958400
2008-03-01,20.750000,22.385000,19.549999,20.100000,18.528658,34004400
2008-04-01,20.469999,23.549999,19.545000,22.875000,21.086716,41498400
2008-05-01,22.875000,27.490000,22.875000,26.594999,24.652227,34101200
2008-06-01,26.360001,26.745001,21.250000,21.605000,20.026749,37059000
2008-07-01,21.250000,22.500000,18.514999,21.350000,19.790379,36289800
2008-08-01,21.350000,23.250000,19.250000,20.405001,18.914408,30235600
2008-09-01,20.000000,21.535000,16.670000,18.200001,16.870485,42394000
2008-10-01,18.190001,19.170000,12.750000,15.750000,14.599459,43210000
2008-11-01,15.900000,18.915001,14.550000,17.790001,16.490438,22496000
2008-12-01,17.254999,18.924999,14.870000,14.870000,13.783744,25725000
2009-01-01,14.870000,16.770000,14.870000,16.000000,14.831195,18467400
2009-02-01,15.680000,15.965000,14.080000,14.805000,13.723491,19533600
2009-03-01,14.525000,16.825001,12.965000,14.375000,13.324902,34086000
2009-04-01,14.290000,17.070000,14.255000,16.125000,14.947064,36976800
2009-05-01,16.125000,20.500000,15.755000,19.600000,18.168213,60953600
2009-06-01,19.600000,20.250000,18.049999,18.750000,17.380310,28108200
2009-07-01,18.850000,22.080000,18.520000,20.700001,19.187859,102216000
2009-08-01,20.660000,21.639999,20.040001,21.000000,19.465950,72242800
2009-09-01,20.915001,24.879999,20.365000,23.600000,21.876015,62714400
2009-10-01,23.549999,24.299999,21.045000,21.350000,19.790379,60655200
2009-11-01,21.350000,23.500000,20.049999,20.504999,19.007103,62975200
2009-12-01,20.850000,22.430000,19.805000,22.145000,20.527302,68895400
2010-01-01,22.684999,24.100000,22.305000,22.575001,20.925890,51361800
2010-02-01,22.450001,23.350000,21.750000,22.049999,20.439238,36788800
2010-03-01,21.900000,24.240000,21.600000,23.950001,22.200445,59254400
2010-04-01,23.990000,24.500000,22.100000,22.700001,21.041761,41319197
2010-05-01,22.530001,23.700001,20.809999,23.299999,21.597925,57936171
2010-06-01,23.290001,26.200001,22.719999,23.700001,21.968706,49874364
2010-07-01,24.000000,25.500000,22.680000,24.709999,22.951136,48780900
2010-08-01,24.889999,25.170000,22.000000,23.549999,21.873703,45521400
2010-09-01,23.480000,25.770000,22.850000,25.750000,23.917107,12519111
2010-10-01,25.790001,26.650000,23.790001,24.680000,22.923275,0
2010-11-01,24.410000,26.000000,23.900000,25.500000,23.684904,37964100
2010-12-01,25.799999,27.900000,25.160000,27.340000,25.393934,39746900
